,car,Date,Dealer_Name,Dealer_Region,Company,Model,Engine,Transmission,Color_car,Body Style,Price
42,C_CND_000043,1/3/2022,U-Haul CO,Austin,CMP_007,Lumina,Overhead Camshaft,Manual,Black,Passenger,"$42,500 "
43,C_CND_000044,1/3/2022,Diehl Motor CO Inc,Middletown,CMP_006,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$45,001 "
44,C_CND_000045,1/3/2022,Enterprise Rent A Car,Aurora,CMP_024,Bonneville,Overhead Camshaft,Manual,Black,Hatchback,"$36,001 "
45,C_CND_000046,1/3/2022,Gartner Buick Hyundai Saab,Greenville,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$12,000 "
46,C_CND_000047,1/3/2022,Hatfield Volkswagen,Pasco,CMP_010,323i,Overhead Camshaft,Manual,Pale White,Hatchback,"$21,001 "
47,C_CND_000048,1/3/2022,Rabun Used Car Sales,Scottsdale,CMP_005,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$29,000 "
48,C_CND_000049,1/3/2022,Race Car Help,Austin,CMP_008,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$20,000 "
49,C_CND_000050,1/3/2022,Ryder Truck Rental and Leasing,Middletown,CMP_003,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$22,000 "
50,C_CND_000051,1/3/2022,Saab-Belle Dodge,Aurora,CMP_002,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$31,000 "
51,C_CND_000052,1/3/2022,Progressive Shippers Cooperative Association No,Austin,CMP_016,A4,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$27,000 "
52,C_CND_000053,1/3/2022,C & M Motors Inc,Scottsdale,CMP_009,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$33,000 "
53,C_CND_000054,1/3/2022,Scrivener Performance Engineering,Middletown,CMP_007,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,"$14,000 "
54,C_CND_000055,1/3/2022,Chrysler of Tri-Cities,Middletown,CMP_005,RL,Overhead Camshaft,Manual,Pale White,SUV,"$17,000 "
55,C_CND_000056,1/4/2022,Iceberg Rentals,Janesville,CMP_020,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$25,600 "
56,C_CND_000057,1/4/2022,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_023,C70,Overhead Camshaft,Manual,Black,Hatchback,"$17,000 "
57,C_CND_000058,1/4/2022,Motor Vehicle Branch Office,Austin,CMP_009,Mountaineer,Overhead Camshaft,Manual,Pale White,SUV,"$21,000 "
58,C_CND_000059,1/4/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$12,000 "
59,C_CND_000060,1/4/2022,C & M Motors Inc,Aurora,CMP_021,SLK,Overhead Camshaft,Manual,Pale White,Passenger,"$17,000 "
60,C_CND_000061,1/4/2022,Ryder Truck Rental and Leasing,Janesville,CMP_004,Tacoma,Overhead Camshaft,Manual,Black,Hardtop,"$36,000 "
61,C_CND_000062,1/4/2022,Iceberg Rentals,Janesville,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$17,000 "
62,C_CND_000063,1/4/2022,McKinney Dodge Chrysler Jeep,Austin,CMP_021,M-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$41,000 "
63,C_CND_000064,1/4/2022,Nebo Chevrolet,Middletown,CMP_016,A6,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$14,000 "
64,C_CND_000065,1/4/2022,Scrivener Performance Engineering,Greenville,CMP_002,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$31,100 "
65,C_CND_000066,1/4/2022,Star Enterprises Inc,Pasco,CMP_019,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$61,000 "
66,C_CND_000067,1/4/2022,Suburban Ford,Janesville,CMP_002,Viper,Overhead Camshaft,Manual,Black,SUV,"$26,000 "
67,C_CND_000068,1/4/2022,Chrysler Plymouth,Aurora,CMP_004,Sienna,Overhead Camshaft,Manual,Black,Passenger,"$12,000 "
68,C_CND_000069,1/4/2022,Classic Chevy,Greenville,CMP_023,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$42,000 "
69,C_CND_000070,1/4/2022,Clay Johnson Auto Sales,Pasco,CMP_006,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$21,000 "
70,C_CND_000071,1/5/2022,Nebo Chevrolet,Middletown,CMP_003,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$22,600 "
71,C_CND_000072,1/5/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_022,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,"$45,000 "
72,C_CND_000073,1/5/2022,Pars Auto Sales,Greenville,CMP_006,Eclipse,Overhead Camshaft,Manual,Black,SUV,"$25,000 "
73,C_CND_000074,1/5/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_001,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$62,000 "
74,C_CND_000075,1/5/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$22,700 "
75,C_CND_000076,1/5/2022,Rabun Used Car Sales,Scottsdale,CMP_006,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$45,000 "
76,C_CND_000077,1/5/2022,Chrysler of Tri-Cities,Pasco,CMP_025,Town car,Overhead Camshaft,Manual,Black,Hatchback,"$17,000 "
77,C_CND_000078,1/5/2022,Motor Vehicle Branch Office,Austin,CMP_001,Focus,Overhead Camshaft,Manual,Black,Hardtop,"$49,000 "
78,C_CND_000079,1/5/2022,Classic Chevy,Scottsdale,CMP_016,A6,Overhead Camshaft,Manual,Black,SUV,"$15,000 "
79,C_CND_000080,1/5/2022,Clay Johnson Auto Sales,Austin,CMP_005,TL,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$28,000 "
80,C_CND_000081,1/5/2022,Tri-State Mack Inc,Greenville,CMP_008,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop,"$46,000 "
81,C_CND_000082,1/5/2022,Enterprise Rent A Car,Aurora,CMP_001,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,"$43,000 "
82,C_CND_000083,1/5/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_026,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$41,000 "
83,C_CND_000084,1/5/2022,Pars Auto Sales,Greenville,CMP_007,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$45,000 "
84,C_CND_000085,1/5/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_007,Impala,Overhead Camshaft,Manual,Pale White,Hatchback,"$22,001 "
85,C_CND_000086,1/5/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_018,Cabrio,Overhead Camshaft,Manual,Pale White,Sedan,"$25,001 "
86,C_CND_000087,1/5/2022,Rabun Used Car Sales,Scottsdale,CMP_002,Dakota,Overhead Camshaft,Manual,Pale White,Sedan,"$12,800 "
87,C_CND_000088,1/5/2022,Race Car Help,Austin,CMP_011,300M,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$26,000 "
88,C_CND_000089,1/5/2022,Tri-State Mack Inc,Scottsdale,CMP_010,328i,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$18,000 "
89,C_CND_000090,1/5/2022,U-Haul CO,Austin,CMP_026,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$19,000 "
90,C_CND_000091,1/5/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_008,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,"$22,500 "
91,C_CND_000092,1/5/2022,Race Car Help,Austin,CMP_002,Ram Pickup,Overhead Camshaft,Manual,Pale White,Hardtop,"$21,001 "
92,C_CND_000093,1/5/2022,Saab-Belle Dodge,Aurora,CMP_011,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop,"$46,500 "
93,C_CND_000094,1/5/2022,Chrysler of Tri-Cities,Pasco,CMP_011,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$16,000 "
94,C_CND_000095,1/5/2022,Diehl Motor CO Inc,Janesville,CMP_023,V70,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$39,000 "
95,C_CND_000096,1/5/2022,Enterprise Rent A Car,Scottsdale,CMP_008,Quest,Overhead Camshaft,Manual,Black,SUV,"$19,000 "
96,C_CND_000097,1/5/2022,Gartner Buick Hyundai Saab,Austin,CMP_011,LHS,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$26,000 "
97,C_CND_000098,1/5/2022,Hatfield Volkswagen,Janesville,CMP_014,Accord,Overhead Camshaft,Manual,Black,Sedan,"$43,000 "
98,C_CND_000099,1/5/2022,Iceberg Rentals,Scottsdale,CMP_008,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,"$54,000 "
99,C_CND_000100,1/5/2022,McKinney Dodge Chrysler Jeep,Austin,CMP_002,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$22,000 "
100,C_CND_000101,1/6/2022,Race Car Help,Austin,CMP_027,ES300,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$16,001 "
101,C_CND_000102,1/6/2022,Ryder Truck Rental and Leasing,Middletown,CMP_010,328i,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$16,001 "
102,C_CND_000103,1/6/2022,Gartner Buick Hyundai Saab,Greenville,CMP_004,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$12,000 "
103,C_CND_000104,1/6/2022,Buddy Storbeck's Diesel Service Inc,Janesville,CMP_021,SL-Class,Overhead Camshaft,Manual,Black,Hardtop,"$38,000 "
104,C_CND_000105,1/6/2022,Ryder Truck Rental and Leasing,Middletown,CMP_001,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$42,000 "
105,C_CND_000106,1/6/2022,Saab-Belle Dodge,Aurora,CMP_008,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$21,000 "
106,C_CND_000107,1/6/2022,Chrysler Plymouth,Janesville,CMP_023,C70,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$49,000 "
107,C_CND_000108,1/6/2022,Chrysler of Tri-Cities,Pasco,CMP_007,Prizm,Overhead Camshaft,Manual,Pale White,Hardtop,"$21,200 "
108,C_CND_000109,1/6/2022,Motor Vehicle Branch Office,Middletown,CMP_009,Grand Marquis,Overhead Camshaft,Manual,Pale White,SUV,"$71,000 "
109,C_CND_000110,1/6/2022,Nebo Chevrolet,Aurora,CMP_007,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$17,000 "
110,C_CND_000111,1/9/2022,Saab-Belle Dodge,Aurora,CMP_012,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$57,001 "
111,C_CND_000112,1/9/2022,Scrivener Performance Engineering,Greenville,CMP_019,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$62,001 "
112,C_CND_000113,1/9/2022,Star Enterprises Inc,Pasco,CMP_001,Taurus,Overhead Camshaft,Manual,Black,SUV,"$69,001 "
113,C_CND_000114,1/9/2022,Suburban Ford,Janesville,CMP_007,Cavalier,Overhead Camshaft,Manual,Pale White,SUV,"$20,001 "
114,C_CND_000115,1/9/2022,McKinney Dodge Chrysler Jeep,Austin,CMP_016,A4,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$27,000 "
115,C_CND_000116,1/9/2022,U-Haul CO,Janesville,CMP_001,Focus,Overhead Camshaft,Manual,Black,Hardtop,"$49,000 "
116,C_CND_000117,1/9/2022,Motor Vehicle Branch Office,Austin,CMP_006,Diamante,Overhead Camshaft,Manual,Black,Hatchback,"$49,000 "
117,C_CND_000118,1/9/2022,Nebo Chevrolet,Middletown,CMP_027,GS400,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$12,000 "
118,C_CND_000119,1/9/2022,Scrivener Performance Engineering,Greenville,CMP_021,M-Class,Overhead Camshaft,Manual,Pale White,Hatchback,"$25,000 "
119,C_CND_000120,1/9/2022,Star Enterprises Inc,Pasco,CMP_011,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$42,000 "
120,C_CND_000121,1/9/2022,Suburban Ford,Janesville,CMP_011,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$19,000 "
121,C_CND_000122,1/9/2022,Tri-State Mack Inc,Scottsdale,CMP_007,Monte Carlo,Overhead Camshaft,Manual,Pale White,Hatchback,"$26,750 "
122,C_CND_000123,1/9/2022,Clay Johnson Auto Sales,Austin,CMP_003,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$31,000 "
123,C_CND_000124,1/9/2022,Diehl Motor CO Inc,Middletown,CMP_020,LW,Overhead Camshaft,Manual,Pale White,Hatchback,"$49,000 "
124,C_CND_000125,1/9/2022,Enterprise Rent A Car,Aurora,CMP_013,Sonata,Overhead Camshaft,Manual,Black,SUV,"$15,000 "
125,C_CND_000126,1/9/2022,Gartner Buick Hyundai Saab,Greenville,CMP_009,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$26,000 "
126,C_CND_000127,1/9/2022,Suburban Ford,Greenville,CMP_021,SL-Class,Overhead Camshaft,Manual,Pale White,Hardtop,"$17,000 "
127,C_CND_000128,1/9/2022,Pars Auto Sales,Pasco,CMP_023,C70,Overhead Camshaft,Manual,Pale White,Hatchback,"$24,000 "
128,C_CND_000129,1/9/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Janesville,CMP_007,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$19,000 "
129,C_CND_000130,1/9/2022,Progressive Shippers Cooperative Association No,Scottsdale,CMP_022,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,"$20,000 "
130,C_CND_000131,1/10/2022,Tri-State Mack Inc,Scottsdale,CMP_005,TL,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$28,501 "
131,C_CND_000132,1/10/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_010,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$15,500 "
132,C_CND_000133,1/10/2022,U-Haul CO,Austin,CMP_028,Voyager,Overhead Camshaft,Manual,Pale White,Passenger,"$20,000 "
133,C_CND_000134,1/10/2022,Hatfield Volkswagen,Pasco,CMP_008,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,"$29,000 "
134,C_CND_000135,1/10/2022,Rabun Used Car Sales,Austin,CMP_011,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$12,500 "
135,C_CND_000136,1/12/2022,U-Haul CO,Austin,CMP_009,Grand Marquis,Overhead Camshaft,Manual,Pale White,SUV,"$16,001 "
136,C_CND_000137,1/12/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_027,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$27,250 "
137,C_CND_000138,1/12/2022,C & M Motors Inc,Aurora,CMP_002,Intrepid,Overhead Camshaft,Manual,Black,Sedan,"$11,000 "
138,C_CND_000139,1/12/2022,Capitol KIA,Greenville,CMP_008,Maxima,Overhead Camshaft,Manual,Pale White,Sedan,"$22,001 "
139,C_CND_000140,1/12/2022,Chrysler of Tri-Cities,Pasco,CMP_002,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$22,000 "
140,C_CND_000141,1/12/2022,Chrysler Plymouth,Janesville,CMP_007,Corvette,Overhead Camshaft,Manual,Pale White,SUV,"$22,000 "
141,C_CND_000142,1/12/2022,Pars Auto Sales,Greenville,CMP_005,RL,Overhead Camshaft,Manual,Black,SUV,"$18,000 "
142,C_CND_000143,1/12/2022,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_014,Odyssey,Overhead Camshaft,Manual,Pale White,Passenger,"$27,000 "
143,C_CND_000144,1/12/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_026,Intrigue,Overhead Camshaft,Manual,Pale White,SUV,"$25,000 "
144,C_CND_000145,1/12/2022,Rabun Used Car Sales,Scottsdale,CMP_005,RL,Overhead Camshaft,Manual,Pale White,SUV,"$26,500 "
145,C_CND_000146,1/12/2022,Race Car Help,Austin,CMP_001,Taurus,Overhead Camshaft,Manual,Black,SUV,"$69,000 "
146,C_CND_000147,1/12/2022,Ryder Truck Rental and Leasing,Middletown,CMP_026,Silhouette,Overhead Camshaft,Manual,Pale White,Sedan,"$14,150 "
147,C_CND_000148,1/12/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_029,5-Sep,Overhead Camshaft,Manual,Pale White,Hatchback,"$28,000 "
148,C_CND_000149,1/12/2022,Rabun Used Car Sales,Scottsdale,CMP_014,Civic,Overhead Camshaft,Manual,Black,Hatchback,"$43,000 "
149,C_CND_000150,1/12/2022,Race Car Help,Austin,CMP_010,528i,Overhead Camshaft,Manual,Pale White,SUV,"$25,000 "
150,C_CND_000151,1/12/2022,Ryder Truck Rental and Leasing,Middletown,CMP_026,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$12,000 "
151,C_CND_000152,1/12/2022,Saab-Belle Dodge,Aurora,CMP_027,LS400,DoubleÂ Overhead Camshaft,Auto,Black,Sedan,"$39,000 "
152,C_CND_000153,1/12/2022,Scrivener Performance Engineering,Greenville,CMP_003,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$60,500 "
153,C_CND_000154,1/12/2022,Iceberg Rentals,Janesville,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$16,000 "
154,C_CND_000155,1/12/2022,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_024,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$19,000 "
155,C_CND_000156,1/12/2022,Motor Vehicle Branch Office,Austin,CMP_007,Monte Carlo,Overhead Camshaft,Manual,Black,Hatchback,"$44,000 "
156,C_CND_000157,1/12/2022,Nebo Chevrolet,Middletown,CMP_026,Aurora,Overhead Camshaft,Manual,Pale White,Passenger,"$71,000 "
157,C_CND_000158,1/12/2022,New Castle Ford Lincoln Mercury,Aurora,CMP_001,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback,"$25,000 "
158,C_CND_000159,1/12/2022,Pars Auto Sales,Greenville,CMP_006,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$18,000 "
159,C_CND_000160,1/12/2022,Race Car Help,Middletown,CMP_001,Expedition,Overhead Camshaft,Manual,Pale White,SUV,"$22,000 "
160,C_CND_000161,1/12/2022,Diehl Motor CO Inc,Middletown,CMP_021,M-Class,Overhead Camshaft,Manual,Pale White,Hardtop,"$41,000 "
161,C_CND_000162,1/12/2022,Gartner Buick Hyundai Saab,Greenville,CMP_001,Focus,Overhead Camshaft,Manual,Black,Hardtop,"$49,000 "
162,C_CND_000163,1/12/2022,Scrivener Performance Engineering,Pasco,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$19,000 "
163,C_CND_000164,1/12/2022,Star Enterprises Inc,Janesville,CMP_010,528i,Overhead Camshaft,Manual,Black,SUV,"$21,000 "
164,C_CND_000165,1/12/2022,Rabun Used Car Sales,Scottsdale,CMP_012,Forester,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$22,000 "
165,C_CND_000166,1/13/2022,Classic Chevy,Scottsdale,CMP_028,Breeze,Overhead Camshaft,Manual,Pale White,SUV,"$16,000 "
166,C_CND_000167,1/13/2022,Clay Johnson Auto Sales,Austin,CMP_018,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$45,000 "
167,C_CND_000168,1/13/2022,Diehl Motor CO Inc,Middletown,CMP_002,Intrepid,Overhead Camshaft,Manual,Black,Sedan,"$11,650 "
168,C_CND_000169,1/13/2022,Enterprise Rent A Car,Aurora,CMP_013,Elantra,Overhead Camshaft,Manual,Pale White,Sedan,"$26,000 "
169,C_CND_000170,1/13/2022,Saab-Belle Dodge,Aurora,CMP_020,SW,Overhead Camshaft,Manual,Black,Passenger,"$36,000 "
170,C_CND_000171,1/13/2022,Scrivener Performance Engineering,Greenville,CMP_025,Continental,Overhead Camshaft,Manual,Pale White,Passenger,"$82,000 "
171,C_CND_000172,1/13/2022,Star Enterprises Inc,Pasco,CMP_007,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$24,000 "
