kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50093;1;1;2;1.0;9;0;70;40;0;0;20;570;120;0;120;0;190;0;2.0;2.0;2.0;2.0;2.0
50093;2;1;1;1.0;9;0;30;0;0;0;20;470;110;0;250;0;320;0;2.0;2.0;2.0;2.0;2.0
50095;1;1;2;3.0;6;0;130;?;0;0;0;480;40;0;70;0;30;60;2.0;1.0;1.0;1.0;2.0
50095;2;1;1;3.0;6;530;0;0;0;0;0;420;90;0;20;0;80;0;?;?;?;?;?
50097;1;1;1;1.0;6;0;50;0;0;0;20;420;50;0;30;10;210;0;1.0;2.0;1.0;2.0;1.0
50101;1;1;1;1.0;6;0;10;0;0;0;0;610;20;0;0;20;170;?;1.0;2.0;2.0;1.0;1.0
50101;2;1;2;1.0;6;0;270;20;0;0;10;470;50;0;60;20;0;0;2.0;2.0;1.0;2.0;1.0
50102;1;1;1;1.0;4;450;0;0;0;0;0;470;60;0;0;0;0;0;0.0;180.0;0.0;240.0;180.0
50103;1;1;2;3.0;8;00:00;01:20;00:30;00:00;00:00;00:00;05:50;00:30;00:00;02:20;01:00;02:00;00:00;2.0;?;2.0;1.0;1.0
50103;2;1;1;3.0;9;00:00;00:00;00:00;00:00;00:00;00:00;09:10;01:50;00:00;02:20;00:50;01:50;00:00;2.0;1.0;2.0;2.0;1.0
50118;1;1;2;1.0;7;0;40;30;0;0;0;620;70;0;150;0;120;0;1.0;1.0;1.0;1.0;1.0
50119;2;2;1;1.0;6;430;10;0;0;0;40;500;80;0;40;0;90;0;2.0;2.0;1.0;1.0;2.0
50121;2;1;2;1.0;5;0;50;0;10;0;90;740;100;0;0;0;190;0;1.0;2.0;2.0;1.0;1.0
50124;1;1;1;2.0;6;0;0;0;10;0;20;470;100;0;20;0;540;0;1.0;2.0;2.0;1.0;2.0
50124;2;1;2;2.0;6;0;70;40;0;0;270;550;90;0;60;0;140;0;1.0;1.0;2.0;1.0;2.0
50125;1;2;2;1.0;6;0;0;10;50;0;160;470;60;0;60;0;30;0;1.0;1.0;2.0;1.0;1.0
50126;1;1;2;3.0;3;0;0;0;0;0;40;600;70;260;40;0;0;50;1.0;1.0;1.0;1.0;2.0
50140;1;1;1;1.0;5;00:00;00:50;00:30;01:20;00:30;00:30;09:00;01:50;00:00;00:00;00:00;02:00;00:00;1.0;1.0;1.0;1.0;2.0
50140;2;1;2;1.0;5;00:00;00:30;00:00;00:00;00:00;00:30;11:00;00:40;00:00;00:00;00:00;02:00;00:00;1.0;1.0;1.0;1.0;2.0
50142;1;1;2;2.0;8;0;70;40;0;0;30;630;50;0;140;0;220;0;2.0;1.0;2.0;1.0;2.0
50142;2;1;1;2.0;8;0;0;0;0;0;0;670;40;0;40;0;350;0;?;?;?;?;?
50145;1;1;1;2.0;7;0;0;0;10;50;0;520;100;0;50;0;260;0;2.0;2.0;2.0;2.0;2.0
50145;2;1;2;2.0;5;0;110;0;120;30;0;500;70;0;30;0;90;0;2.0;2.0;1.0;1.0;2.0
50147;1;1;2;1.0;5;0;110;70;0;10;10;590;130;0;30;0;50;10;1.0;1.0;2.0;1.0;2.0
50147;2;1;1;1.0;5;0;20;0;10;30;0;630;200;0;20;0;100;0;1.0;1.0;2.0;1.0;1.0
50148;1;1;2;1.0;8;0;0;0;0;0;0;300;80;0;30;0;950;10;2.0;2.0;2.0;2.0;2.0
50150;1;1;1;1.0;8;0;20;0;0;0;60;470;210;0;110;0;180;0;2.0;1.0;1.0;1.0;1.0
50150;2;1;2;1.0;7;0;50;10;0;0;50;450;80;0;180;0;150;0;2.0;1.0;1.0;1.0;2.0
50161;1;2;2;3.0;7;0;90;20;0;0;0;500;150;0;70;0;0;0;2.0;1.0;1.0;1.0;1.0
50161;2;2;1;3.0;8;250;220;0;0;0;0;450;140;0;40;0;0;0;2.0;1.0;2.0;2.0;1.0
50162;1;1;1;2.0;6;0;30;0;0;0;0;520;60;0;0;0;240;0;60.0;60.0;120.0;0.0;0.0
50162;2;1;2;2.0;6;0;30;0;0;0;0;630;90;0;30;0;80;0;0.0;0.0;0.0;0.0;240.0
50163;1;2;2;1.0;6;0;60;30;0;0;30;490;100;0;30;0;230;10;1.0;2.0;2.0;1.0;1.0
50163;2;2;1;1.0;7;450;0;0;0;0;40;630;100;0;60;0;40;0;?;?;?;?;?
50165;1;2;1;1.0;8;00:00;00:00;00:00;00:00;00:00;00:00;09:30;02:30;00:00;00:50;00:00;01:30;00:00;1.0;1.0;2.0;1.0;2.0
50165;2;2;2;1.0;8;00:00;01:30;00:20;00:00;00:00;02:10;08:10;01:20;00:00;01:00;00:00;02:30;00:00;1.0;1.0;2.0;1.0;2.0
50168;1;1;2;1.0;6;07:00;00:10;00:00;00:00;00:00;00:20;07:40;00:20;00:00;00:30;00:00;05:20;00:00;1.0;2.0;1.0;1.0;1.0
50175;1;1;2;1.0;6;460;0;0;20;0;20;430;70;0;20;0;40;0;1.0;1.0;2.0;1.0;1.0
50175;2;1;1;1.0;6;680;0;0;0;0;0;420;80;0;30;0;120;0;1.0;1.0;2.0;1.0;1.0
50176;1;2;2;1.0;6;0;0;10;0;0;0;430;30;0;0;0;170;0;1.0;1.0;2.0;2.0;2.0
50176;2;2;1;1.0;7;0;20;0;0;0;0;390;80;0;10;0;200;0;1.0;1.0;1.0;2.0;1.0
50177;2;2;1;3.0;7;610;0;0;0;0;0;370;70;0;0;?;0;0;2.0;2.0;2.0;1.0;1.0
50178;1;2;2;2.0;6;0;20;0;0;0;30;460;120;0;100;0;120;0;1.0;1.0;1.0;1.0;2.0
50182;1;1;2;3.0;8;0;80;40;0;0;0;600;70;0;10;0;160;0;2.0;2.0;2.0;2.0;2.0
50185;1;2;2;1.0;8;0;30;10;0;0;10;270;260;?;140;80;100;0;2.0;1.0;1.0;1.0;1.0
50186;1;1;1;1.0;6;0;80;0;0;0;0;640;70;0;40;0;50;0;1.0;1.0;2.0;2.0;1.0
50188;1;2;2;2.0;6;0;120;10;0;0;0;510;50;0;0;0;140;70;2.0;2.0;2.0;1.0;1.0
50188;2;2;1;2.0;6;720;10;0;0;0;10;240;40;0;0;0;0;50;2.0;2.0;1.0;2.0;1.0
50194;1;1;2;3.0;5;0;60;10;0;0;0;560;80;0;20;0;120;0;2.0;1.0;1.0;1.0;1.0
50196;1;1;2;1.0;8;0;30;40;0;0;0;580;80;0;60;0;210;0;2.0;2.0;2.0;1.0;2.0
50204;1;1;1;1.0;6;30;60;0;0;0;50;490;70;0;100;0;280;0;2.0;1.0;2.0;1.0;1.0
50204;2;1;2;1.0;6;0;0;0;0;0;60;600;100;0;200;0;60;0;1.0;1.0;2.0;1.0;2.0
50205;1;1;2;1.0;5;0;30;0;30;0;30;490;10;0;270;0;130;0;1.0;1.0;1.0;1.0;1.0
50209;1;2;1;1.0;8;0;110;20;0;0;50;550;150;0;80;0;90;0;1.0;1.0;1.0;1.0;2.0
50209;2;2;2;1.0;8;0;90;40;0;0;0;600;110;0;60;0;90;0;1.0;1.0;1.0;1.0;2.0
50210;1;2;1;1.0;4;300;0;0;0;0;0;660;60;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0
50214;1;2;1;1.0;6;560;0;0;0;0;0;400;10;0;0;0;50;0;1.0;2.0;2.0;1.0;1.0
50214;2;2;2;1.0;5;510;10;10;0;0;0;430;40;?;0;0;100;0;1.0;1.0;2.0;1.0;1.0
50215;1;1;2;1.0;4;440;20;20;0;0;0;550;80;0;0;0;150;0;1.0;1.0;1.0;1.0;1.0
50215;2;1;1;1.0;5;480;0;0;0;0;0;420;80;0;20;0;100;0;1.0;1.0;1.0;1.0;1.0
50218;1;2;1;1.0;6;0;30;10;0;0;0;600;50;0;90;0;370;0;2.0;2.0;2.0;1.0;2.0
50218;2;2;2;1.0;9;0;0;0;0;0;0;530;90;0;0;110;620;0;?;?;?;?;?
50222;1;1;2;1.0;6;0;70;30;0;0;0;480;120;0;0;0;50;0;2.0;1.0;1.0;2.0;2.0
50227;1;1;2;1.0;8;0;30;30;0;0;30;500;70;0;230;80;60;60;1.0;1.0;1.0;1.0;2.0
50228;1;1;2;2.0;7;00:00;01:10;00:30;00:00;00:00;00:00;08:40;01:10;00:00;00:20;00:00;05:40;00:00;2.0;2.0;1.0;2.0;2.0
50228;2;1;1;2.0;7;00:00;00:00;00:00;00:00;00:00;01:10;09:00;00:50;00:00;00:20;00:00;06:00;00:00;2.0;2.0;1.0;2.0;1.0
50232;2;2;2;1.0;6;0;40;10;0;0;30;520;60;0;90;0;290;0;1.0;2.0;1.0;1.0;1.0
50234;1;1;2;1.0;7;0;0;30;0;0;0;590;170;0;140;0;180;10;1.0;1.0;2.0;1.0;2.0
50237;1;2;1;3.0;7;0;50;0;0;0;0;550;140;0;50;0;150;0;2.0;1.0;2.0;2.0;2.0
50237;2;2;2;3.0;6;460;70;10;0;0;0;490;100;0;110;0;80;0;2.0;1.0;2.0;2.0;2.0
50238;1;1;2;3.0;9;0;90;20;0;0;0;480;120;0;140;0;270;0;2.0;2.0;2.0;2.0;2.0
50238;2;1;1;3.0;9;0;10;20;0;0;0;480;130;0;150;0;300;0;2.0;2.0;2.0;2.0;2.0
50239;1;1;1;1.0;8;00:00;00:30;00:10;00:00;00:00;00:00;06:10;01:00;00:00;09:00;00:00;04:30;00:00;2.0;2.0;2.0;1.0;2.0
50239;2;1;2;1.0;7;00:00;00:20;00:00;00:00;00:00;00:00;08:30;02:30;00:00;00:10;00:00;05:30;?;2.0;1.0;1.0;1.0;2.0
50241;1;2;1;3.0;9;0;30;0;0;0;0;490;130;0;120;40;140;0;2.0;2.0;2.0;2.0;2.0
50242;1;2;1;1.0;7;0;60;0;0;0;0;470;70;0;40;0;310;0;2.0;1.0;2.0;1.0;2.0
50242;2;2;2;1.0;7;0;0;0;0;0;0;410;180;0;290;0;120;0;2.0;1.0;2.0;1.0;2.0
50243;2;1;1;1.0;6;0;50;10;0;0;30;550;90;0;0;0;280;0;1.0;2.0;2.0;1.0;1.0
50247;1;2;1;3.0;6;440;10;0;0;0;0;440;100;0;50;0;80;0;2.0;2.0;1.0;1.0;1.0
50247;2;2;2;3.0;6;0;70;40;0;0;0;630;90;0;110;10;20;40;2.0;2.0;1.0;1.0;?
50250;1;1;1;2.0;5;0;0;20;0;0;10;410;120;0;50;0;?;0;2.0;2.0;2.0;1.0;1.0
50250;2;1;2;2.0;5;0;90;30;70;30;10;390;70;0;60;0;220;20;1.0;2.0;1.0;1.0;1.0
50251;1;2;2;1.0;5;360;20;0;0;0;0;470;20;0;0;10;0;20;1.0;1.0;1.0;1.0;1.0
50256;1;1;1;2.0;7;450;30;0;0;0;50;340;80;0;60;0;110;20;2.0;2.0;2.0;1.0;2.0
50258;2;1;1;1.0;7;0;0;0;0;0;40;540;50;0;0;0;210;0;2.0;2.0;2.0;2.0;2.0
50259;1;1;1;1.0;8;250;0;0;20;0;70;240;10;0;190;0;110;0;2.0;2.0;1.0;1.0;2.0
50264;1;1;2;1.0;7;0;90;10;0;0;0;470;80;0;40;0;310;0;2.0;2.0;2.0;2.0;2.0
50264;2;1;1;1.0;6;430;20;10;0;0;20;430;60;0;10;0;210;?;2.0;2.0;1.0;2.0;2.0
50265;1;2;1;1.0;3;0;30;0;0;0;0;570;20;0;0;0;0;0;0.0;240.0;120.0;0.0;240.0
50270;1;1;2;3.0;4;240;10;30;0;0;0;470;110;0;0;0;160;0;1.0;1.0;1.0;1.0;2.0
50270;2;1;2;3.0;7;0;100;40;0;0;70;460;90;0;70;0;130;20;1.0;1.0;1.0;1.0;1.0
50271;1;1;2;3.0;8;0;30;50;0;0;0;470;120;0;210;0;280;0;2.0;2.0;2.0;2.0;2.0
50271;2;1;1;3.0;9;0;0;0;?;?;40;400;110;0;250;20;160;0;2.0;2.0;2.0;1.0;1.0
50272;1;2;1;1.0;7;290;10;0;0;0;0;310;30;0;30;0;470;0;2.0;1.0;1.0;1.0;1.0
50272;2;2;2;1.0;6;30;0;50;0;0;0;580;130;0;100;0;0;0;2.0;1.0;1.0;1.0;1.0
50277;1;2;1;1.0;4;0;10;0;10;0;20;480;90;350;30;0;50;0;2.0;2.0;2.0;2.0;2.0
50277;2;2;2;1.0;4;0;50;50;200;110;0;400;90;0;20;0;110;10;2.0;2.0;2.0;2.0;2.0
50278;1;1;2;3.0;6;0;20;0;0;0;0;520;40;0;0;0;250;40;1.0;2.0;2.0;1.0;2.0
50278;2;1;1;3.0;6;0;10;0;0;0;30;550;60;0;0;0;180;0;1.0;2.0;2.0;2.0;2.0
50285;1;1;2;1.0;7;370;0;20;0;0;20;420;80;0;40;0;90;20;1.0;1.0;1.0;1.0;2.0
50285;2;1;1;1.0;6;390;0;0;0;0;120;530;60;0;0;0;80;0;1.0;2.0;1.0;2.0;2.0
50293;1;2;2;2.0;6;0;160;50;0;0;0;?;130;0;20;0;0;0;?;1.0;1.0;1.0;1.0
50295;1;2;2;1.0;8;0;80;30;0;0;60;500;70;0;100;0;240;10;1.0;1.0;1.0;1.0;1.0
50295;2;2;1;1.0;8;?;0;0;0;0;60;500;70;0;90;0;390;0;1.0;1.0;1.0;1.0;1.0
50302;1;1;2;1.0;8;0;60;20;0;0;50;600;70;0;50;0;170;0;1.0;2.0;1.0;2.0;2.0
50302;2;1;1;1.0;8;0;10;0;0;0;20;600;90;0;?;0;270;0;2.0;2.0;2.0;2.0;1.0
50303;1;2;1;1.0;3;00:00;00:00;00:00;00:00;00:00;00:00;11:40;01:30;00:00;00:00;00:00;02:30;00:00;1.0;1.0;1.0;1.0;1.0
50307;1;2;2;1.0;9;0;110;40;0;0;0;540;100;0;90;10;120;20;2.0;1.0;2.0;1.0;2.0
50316;1;1;2;3.0;3;0;10;0;0;0;240;640;80;0;0;0;260;0;1.0;2.0;2.0;1.0;2.0
50316;2;1;1;3.0;4;0;0;0;0;0;240;670;60;0;0;0;200;0;1.0;2.0;2.0;1.0;2.0
50328;1;2;2;1.0;6;0;50;0;0;0;30;600;40;0;220;0;240;0;1.0;1.0;2.0;1.0;1.0
50328;2;2;1;1.0;6;0;10;0;0;0;0;640;?;0;30;0;90;0;1.0;1.0;1.0;1.0;1.0
50332;1;1;2;1.0;7;0;0;0;0;0;0;560;110;0;40;90;230;0;2.0;2.0;2.0;2.0;2.0
50333;2;2;1;3.0;6;11:30;00:00;00:00;00:00;00:00;00:20;06:50;01:10;00:00;00:30;00:00;00:00;00:00;1.0;1.0;2.0;2.0;1.0
50339;1;2;2;1.0;7;580;20;0;0;0;20;470;60;0;20;0;100;30;2.0;1.0;1.0;2.0;1.0
50340;1;2;2;1.0;9;0;190;10;0;0;0;620;130;0;60;120;0;60;2.0;2.0;2.0;2.0;2.0
50353;1;1;1;1.0;6;09:20;00:10;00:00;00:00;00:00;00:10;07:50;00:50;00:00;01:00;00:00;03:00;00:00;1.0;2.0;1.0;1.0;1.0
50361;1;1;2;1.0;3;0;60;0;0;0;0;430;130;0;0;0;270;0;1.0;1.0;1.0;1.0;2.0
50363;1;2;1;1.0;4;00:00;00:50;00:00;02:20;04:10;00:00;11:00;01:00;00:00;00:00;00:00;00:00;00:00;1.0;2.0;1.0;1.0;2.0
50363;2;2;2;1.0;4;00:00;00:10;00:00;03:00;01:50;00:00;09:40;01:50;00:00;00:10;00:00;00:00;00:00;1.0;2.0;1.0;1.0;1.0
50371;1;1;2;1.0;6;400;20;10;0;0;30;470;40;0;30;0;0;50;1.0;1.0;2.0;2.0;1.0
50377;1;2;1;3.0;4;0;20;30;120;160;0;580;70;0;0;?;0;0;2.0;2.0;2.0;1.0;2.0
50377;2;2;2;3.0;4;0;50;20;180;0;130;400;80;0;0;0;0;10;2.0;2.0;1.0;1.0;2.0
50382;2;2;1;1.0;6;0;0;0;0;0;60;440;90;0;30;0;180;0;?;?;?;?;?
50385;1;2;1;3.0;8;0;20;0;0;0;0;580;70;0;10;0;170;0;2.0;1.0;2.0;2.0;1.0
50385;2;2;2;3.0;8;0;90;50;0;0;0;550;70;0;90;0;150;40;2.0;1.0;2.0;2.0;1.0
50389;1;2;1;1.0;3;00:00;00:00;00:00;00:00;00:00;00:20;12:00;01:00;02:10;00:00;00:00;00:00;00:00;1.0;1.0;1.0;1.0;2.0
50391;1;1;2;1.0;6;500;30;10;0;0;30;550;60;0;10;0;40;10;1.0;1.0;1.0;1.0;1.0
50391;2;1;1;1.0;6;0;0;0;0;0;?;520;100;0;0;0;40;0;2.0;2.0;1.0;1.0;2.0
50393;1;2;1;1.0;4;0;50;0;0;200;30;530;110;0;0;0;50;0;2.0;2.0;2.0;1.0;2.0
50393;2;2;2;1.0;5;0;0;0;0;210;0;640;140;0;300;0;0;0;2.0;2.0;1.0;1.0;2.0
50399;1;1;2;1.0;7;0;0;50;0;0;0;540;180;0;0;?;400;0;2.0;1.0;2.0;2.0;1.0
50399;2;1;1;1.0;7;0;0;0;0;0;0;590;180;0;0;0;400;0;1.0;2.0;2.0;2.0;1.0
50404;1;2;2;2.0;4;0;130;10;70;20;0;570;70;0;40;0;80;0;1.0;1.0;2.0;1.0;2.0
50407;1;1;1;1.0;4;600;0;0;0;0;0;600;50;0;0;0;50;0;1.0;1.0;1.0;1.0;1.0
50411;1;2;2;3.0;9;0;100;80;0;0;0;700;130;0;170;0;120;0;2.0;2.0;2.0;2.0;2.0
50411;2;2;1;3.0;9;0;0;?;0;0;0;730;130;0;140;0;140;0;2.0;2.0;2.0;2.0;2.0
50414;1;1;2;1.0;6;0;80;20;0;0;0;330;230;0;90;0;0;40;1.0;2.0;1.0;1.0;2.0
50422;1;1;1;1.0;6;460;0;0;0;0;20;380;100;0;0;0;120;0;1.0;2.0;1.0;1.0;1.0
50428;1;2;2;3.0;8;0;70;20;0;0;30;660;80;0;60;10;190;0;2.0;2.0;2.0;2.0;2.0
50428;2;2;1;3.0;5;360;0;0;0;?;30;490;120;0;80;10;80;0;2.0;2.0;1.0;2.0;1.0
50429;1;1;1;3.0;5;07:20;00:00;00:00;00:00;00:00;00:00;08:20;01:00;00:00;00:00;00:00;06:10;00:00;1.0;1.0;1.0;2.0;1.0
50429;2;1;2;3.0;5;00:00;01:50;00:00;03:30;00:00;00:20;07:20;01:00;00:00;00:00;00:00;03:40;00:10;1.0;1.0;1.0;1.0;1.0
50430;1;2;1;2.0;7;0;30;0;0;0;0;520;70;0;50;0;70;0;2.0;2.0;2.0;2.0;2.0
50430;2;2;2;2.0;8;0;10;0;0;0;0;510;90;0;20;0;350;10;1.0;1.0;1.0;1.0;2.0
50435;1;1;1;1.0;7;0;30;0;0;0;0;500;70;0;220;0;330;0;2.0;2.0;2.0;1.0;2.0
50436;1;1;2;1.0;5;0;20;10;0;0;40;450;80;0;90;0;?;20;2.0;2.0;2.0;1.0;2.0
50436;2;1;1;1.0;5;0;40;0;40;30;0;500;50;0;60;0;30;10;1.0;1.0;2.0;1.0;2.0
50438;1;1;2;1.0;5;0;20;0;0;0;40;700;60;0;190;0;220;30;1.0;1.0;2.0;1.0;2.0
50443;1;1;2;2.0;7;0;70;50;0;0;0;530;80;0;170;0;290;0;2.0;1.0;1.0;2.0;2.0
50443;2;1;1;2.0;7;40;50;0;0;0;10;610;80;0;140;0;200;0;1.0;1.0;1.0;1.0;1.0
50445;1;1;1;1.0;7;110;0;0;0;0;60;600;80;0;0;0;90;30;2.0;2.0;1.0;1.0;2.0
50447;1;1;2;3.0;4;00:00;01:20;00:20;00:00;00:00;00:00;10:50;01:10;00:00;02:20;00:00;03:40;00:00;2.0;1.0;1.0;1.0;2.0
50447;2;1;1;3.0;5;00:00;01:10;01:10;00:00;00:00;00:40;10:10;03:50;00:00;00:50;00:00;04:20;00:00;?;?;?;?;?
50452;1;2;2;1.0;8;0;90;0;0;0;0;560;140;0;90;0;180;0;2.0;1.0;2.0;1.0;2.0
50456;1;2;2;1.0;6;0;120;70;0;0;0;640;100;0;30;10;180;40;2.0;1.0;1.0;1.0;2.0
50456;2;2;1;1.0;7;70;?;0;0;0;0;480;110;0;80;0;180;0;?;?;?;?;?
50459;1;2;2;1.0;5;440;20;0;0;0;20;560;40;0;0;0;240;0;1.0;1.0;1.0;2.0;1.0
50459;2;2;1;1.0;5;360;0;0;0;0;20;340;50;0;10;0;0;0;1.0;1.0;1.0;1.0;1.0
50461;1;1;2;1.0;6;08:50;00:40;00:20;00:00;00:00;00:40;04:20;00:50;00:00;00:40;00:10;02:20;00:40;1.0;1.0;1.0;1.0;2.0
50464;1;1;2;1.0;6;00:00;00:50;01:00;00:00;00:00;00:50;09:10;05:30;00:00;00:00;00:00;00:00;00:20;1.0;1.0;1.0;1.0;2.0
50472;1;1;1;3.0;8;00:00;00:20;00:30;00:00;00:00;00:00;10:20;02:50;00:00;00:30;00:00;00:50;00:00;2.0;1.0;1.0;2.0;1.0
50472;2;1;2;3.0;7;00:00;00:50;00:40;00:00;00:00;00:00;09:10;03:00;00:00;01:40;00:00;02:00;00:30;1.0;1.0;1.0;2.0;1.0
50474;1;2;1;1.0;8;0;20;0;0;0;0;440;?;0;140;180;70;30;2.0;2.0;1.0;1.0;2.0
50474;2;2;2;1.0;8;0;140;0;0;0;0;390;60;0;150;190;240;0;2.0;2.0;1.0;1.0;2.0
50478;1;1;1;1.0;6;0;0;0;0;0;170;570;30;0;60;0;100;0;2.0;2.0;1.0;2.0;2.0
50478;2;1;2;1.0;6;420;40;20;0;0;0;570;70;0;10;0;80;0;2.0;2.0;1.0;1.0;2.0
50479;1;2;2;2.0;7;0;0;10;0;0;100;570;90;0;50;0;130;0;2.0;1.0;1.0;1.0;2.0
50483;1;2;1;2.0;4;570;20;0;0;0;0;510;60;0;0;0;0;0;1.0;2.0;2.0;1.0;1.0
50483;2;2;2;2.0;3;0;30;0;0;0;0;720;150;0;90;0;120;0;1.0;1.0;2.0;1.0;1.0
50485;1;1;2;1.0;3;390;40;20;30;40;0;430;40;0;0;0;90;10;?;2.0;2.0;2.0;2.0
50486;1;1;1;1.0;6;0;20;0;0;0;0;720;80;0;80;0;250;20;2.0;2.0;1.0;2.0;2.0
50488;1;1;1;1.0;6;520;50;0;0;0;0;400;50;0;0;0;20;0;1.0;2.0;2.0;1.0;1.0
50495;1;2;1;1.0;4;0;0;20;0;0;30;430;50;0;20;0;60;0;2.0;2.0;1.0;1.0;2.0
50504;1;2;1;1.0;6;0;50;0;0;0;0;500;70;0;60;0;180;0;1.0;2.0;2.0;1.0;2.0
50504;2;2;2;1.0;6;0;40;50;0;0;0;510;100;0;100;0;10;?;1.0;2.0;1.0;1.0;2.0
50505;1;1;1;1.0;4;650;10;40;20;40;40;250;90;0;20;0;50;0;180.0;60.0;120.0;0.0;0.0
50505;2;1;2;1.0;4;0;50;40;30;30;0;520;160;0;0;0;110;0;120.0;0.0;0.0;0.0;0.0
50506;1;1;2;3.0;8;0;80;50;0;0;0;590;110;0;20;80;0;0;2.0;2.0;1.0;1.0;2.0
50510;1;1;1;1.0;4;650;10;0;10;40;0;570;10;0;40;0;80;0;?;?;?;?;?
50510;2;1;2;1.0;5;0;40;0;100;20;60;490;70;0;0;0;160;0;2.0;2.0;1.0;1.0;1.0
50517;1;2;1;2.0;3;0;0;0;0;0;20;560;20;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0
50523;1;1;1;3.0;8;0;60;0;0;0;0;610;100;0;0;0;110;0;2.0;2.0;1.0;2.0;2.0
50523;2;1;2;3.0;8;0;100;30;0;0;0;570;80;0;0;0;160;0;2.0;2.0;1.0;2.0;2.0
50526;1;2;1;1.0;7;0;0;30;0;0;0;510;100;0;60;0;440;0;2.0;1.0;1.0;2.0;2.0
50526;2;2;2;1.0;8;0;40;0;0;0;0;480;90;0;70;0;370;0;2.0;1.0;2.0;2.0;2.0
50529;1;2;2;1.0;7;0;60;40;0;0;20;570;50;0;210;0;200;10;1.0;1.0;1.0;1.0;2.0
50529;2;2;1;1.0;7;0;20;0;0;0;20;560;60;0;440;0;10;10;1.0;1.0;1.0;1.0;2.0
50531;1;2;2;1.0;7;0;60;0;0;0;0;690;80;0;100;0;150;0;2.0;1.0;1.0;1.0;2.0
50536;1;2;1;3.0;4;0;0;0;20;20;0;600;70;0;0;0;120;0;1.0;2.0;1.0;2.0;2.0
50536;2;2;2;3.0;4;0;80;20;70;80;0;470;130;0;0;0;230;0;1.0;2.0;?;1.0;2.0
50541;1;1;1;3.0;7;0;0;0;0;0;0;560;130;0;10;0;40;0;2.0;2.0;2.0;2.0;1.0
50541;2;1;2;3.0;7;0;90;10;0;0;10;510;130;0;0;0;40;20;2.0;?;2.0;2.0;1.0
50542;1;2;1;2.0;8;0;60;10;0;0;100;540;80;0;50;0;410;0;2.0;2.0;2.0;2.0;2.0
50542;2;2;2;2.0;9;0;60;20;0;0;90;480;100;0;70;0;410;0;2.0;1.0;2.0;2.0;2.0
